Program,Course Code,Course Title,Section,Teacher,Exam Date,Exam Time,Room
BBA,BST 1308/ECO 1334/QNT 1202,Basic Statistics/Business Statistics I/Statistics for Business and Economics I,A,MKB,"March 14, 2024",11:15 AM - 1:00 PM,202 (111183108-1112310097)                                                                                                                                                                                                                       203 (1112320029-1212330036)
BBA,BST 1308/ECO 1334/QNT 1202,Basic Statistics/Business Statistics I/Statistics for Business and Economics I,B,IJ,"March 14, 2024",11:15 AM - 1:00 PM,204 (111192007-121221016)                                                                                                                                                                                                                       205 (1212230001-1212330034)
BBA,BST 1308/ECO 1334/QNT 1202,Basic Statistics/Business Statistics I/Statistics for Business and Economics I,C,MHAMn,"March 14, 2024",11:15 AM - 1:00 PM,206 (111193054-1112230196)                                                                                                                                                                                                                       207 (1112230213-1212330035)
BBA,BST 1308/ECO 1334/QNT 1202,Basic Statistics/Business Statistics I/Statistics for Business and Economics I,D,MHAMn,"March 14, 2024",11:15 AM - 1:00 PM,208 (111161188-1212330033)
BBA,MKT 4311,Brand Management,A,KMR,"March 14, 2024",11:15 AM - 1:00 PM,201 (111161100-111201042)                                                                                                                                                                                                                       202 (111201062-111211019)
BBA,BST 2216/ECO 1374/QNT 3307,Applied Business Statistics/Business Statistics II/Statistics for Business and Economics II,A,MKHq,"March 14, 2024",1:45 PM - 3:30 PM,202 (111183054-1112230016)                                                                                                                                                                                                                       203 (1112230020-1212310014)
BBA,BST 2216/ECO 1374/QNT 3307,Applied Business Statistics/Business Statistics II/Statistics for Business and Economics II,B,MUd,"March 14, 2024",1:45 PM - 3:30 PM,204 (111183024-1112230018)                                                                                                                                                                                                                       205 (1112230064-1212310017)
BBA,BST 2216/ECO 1374/QNT 3307,Applied Business Statistics/Business Statistics II/Statistics for Business and Economics II,D,MKHq,"March 14, 2024",1:45 PM - 3:30 PM,206 (111183010-111222111)                                                                                                                                                                                                                       207 (111222121-1212310018)
BBA,BST 2216/QNT 3307,Applied Business Statistics/Business Statistics II,C,MKHq,"March 14, 2024",1:45 PM - 3:30 PM,203 (111162027-111201233)                                                                                                                                                                                                                       204 (111202139-1112310111)
BBA,MIS 4399,Introduction to Big Data,A,AIK,"March 14, 2024",1:45 PM - 3:30 PM,Computer Lab 2 (0227) (111182016-111212069)
BBA,HRM 4270,Industrial Law and Employee Relations,A,NAr,"March 16, 2024",9:00 AM - 10:45 AM,202 (111163108-111193022)                                                                                                                                                                                                                       203 (111193024-111211004)
BBA,MGT 3225,E-Business,A,TIM,"March 16, 2024",9:00 AM - 10:45 AM,Computer Lab 1 (0226) (111183011-111201193)                                                                                                                                                                                                                       Computer Lab 2 (0227) (111201243-114172005)
BBA,MGT 3225,E-Business,B,TIM,"March 16, 2024",9:00 AM - 10:45 AM,Computer Lab 4 (0427) (111181108-111202145)                                                                                                                                                                                                                       Computer Lab 5 (0523) (111202157-114202009)
BBA,ACN 4237/AIS 3208,Cost Accounting,A,JBS,"March 16, 2024",11:15 AM - 1:00 PM,204 (111172099-114222006)
BBA,BUS 2112,Business Communications,A,PMM,"March 16, 2024",11:15 AM - 1:00 PM,205 (111222026-1112310093)                                                                                                                                                                                                                       206 (1112310099-121222010)
BBA,BUS 2112,Business Communications,B,MKHn,"March 16, 2024",11:15 AM - 1:00 PM,207 (111191078-1112310040)                                                                                                                                                                                                                       208 (1112310055-1212310012)
BBA,BUS 2112,Business Communications,C,KMR,"March 16, 2024",11:15 AM - 1:00 PM,209 (111193114-1112310046)                                                                                                                                                                                                                       210 (1112310048-1212310010)
BBA,BUS 2112,Business Communications,D,MKHn,"March 16, 2024",11:15 AM - 1:00 PM,211 (111193084-121222013)
BBA,MKT 4313,Digital Marketing,A,TIM,"March 16, 2024",11:15 AM - 1:00 PM,Computer Lab 1 (0226) (111181149-111201025)                                                                                                                                                                                                                       Computer Lab 2 (0227) (111201029-111203014)
BBA,CST 2321,Business Analytics,A,AIK,"March 16, 2024",1:45 PM - 3:30 PM,Computer Lab 1 (0226) (111171196-1142230011)
BBA,CST 2321,Business Analytics,B,AIK,"March 16, 2024",1:45 PM - 3:30 PM,Computer Lab 2 (0227) (111191006-111202182)                                                                                                                                                                                                                       Computer Lab 3 (0327) (111211017-1142310007)
BBA,CST 2321,Business Analytics,C,AIK,"March 16, 2024",1:45 PM - 3:30 PM,Computer Lab 4 (0427) (111181149-111201133)                                                                                                                                                                                                                       Computer Lab 13 (0326) (111201152-114203001)
BBA,BMT 1103/QNT 1104,Basic Mathematics/Business Mathematics I,A,GCD,"March 18, 2024",9:00 AM - 10:45 AM,210 (111213051-1112330131)                                                                                                                                                                                                                       211 (1112330148-1142330016)
BBA,BMT 1103/QNT 1104,Basic Mathematics/Business Mathematics I,B,GCD,"March 18, 2024",9:00 AM - 10:45 AM,222 (111183101-1112330103)                                                                                                                                                                                                                       223 (1112330106-1142330033)
BBA,BMT 1103/QNT 1104,Basic Mathematics/Business Mathematics I,C,GCD,"March 18, 2024",9:00 AM - 10:45 AM,224 (111221120-1112330065)                                                                                                                                                                                                                       225 (1112330068-1142330023)
BBA,BMT 1103/QNT 1104,Basic Mathematics/Business Mathematics I,D,GCD,"March 18, 2024",9:00 AM - 10:45 AM,228 (111193065-1142330028)
BBA,BMT 1103/QNT 1104,Basic Mathematics/Business Mathematics I,E,ShAz,"March 18, 2024",9:00 AM - 10:45 AM,202 (111201139-1112330032)                                                                                                                                                                                                                       203 (1112330033-1142410015)
BBA,BMT 1103/QNT 1104,Basic Mathematics/Business Mathematics I,F,MKB,"March 18, 2024",9:00 AM - 10:45 AM,204 (111202002-1112330130)                                                                                                                                                                                                                       205 (1112330134-1142410008)
BBA,ECN 2214,Macroeconomics,B,TaA,"March 18, 2024",9:00 AM - 10:45 AM,206 (111193041-1142230021)
