Dept.,Course Code,Course Title,Section,Teacher,Exam Date,Exam Time,Room
BSCSE,SOC 2101,"Society, Environment and Engineering Ethics",H,MdShA,"May 12, 2024",02:00 PM - 04:00 PM,401 (011201440-0112230374)                                                                                                                                                                                                                       402 (0112230472-0112330721)
BSCSE,SOC 2101,"Society, Environment and Engineering Ethics",I,MdTH,"May 12, 2024",02:00 PM - 04:00 PM,405 (011213183-0112230546)                                                                                                                                                                                                                       406 (0112230709-0112330738)
BSCSE,SOC 2101,"Society, Environment and Engineering Ethics",J,MMAS,"May 12, 2024",02:00 PM - 04:00 PM,411 (011202338-0112230354)                                                                                                                                                                                                                       423 (0112230418-0112331064)
BSCSE,SOC 2101,"Society, Environment and Engineering Ethics",K,AbHn,"May 12, 2024",02:00 PM - 04:00 PM,407 (011221559-0112230889)                                                                                                                                                                                                                       408 (0112230934-0112330772)
BSCSE,CSE 1110,Introduction to Computer Systems,C,NSS,"May 13, 2024",09:00 AM - 11:00 AM,Computer Lab 5 (0523) (011221177-0112410495)
BSCSE,CSE 1110,Introduction to Computer Systems,G,MBAd,"May 13, 2024",09:00 AM - 11:00 AM,Computer Lab 15 (0626) (0112310091-0112410456)
BSCSE,CSE 1110,Introduction to Computer Systems,H,CAG,"May 13, 2024",09:00 AM - 11:00 AM,Computer Lab 13 (0326) (011222269-0112410210)
BSCSE,CSE 1110,Introduction to Computer Systems,L,MdMH,"May 13, 2024",09:00 AM - 11:00 AM,Computer Lab 20 (0424) (0112231032-0112410504)
BSCSE,CSE 1110,Introduction to Computer Systems,M,MBAd,"May 13, 2024",09:00 AM - 11:00 AM,Computer Lab 14 (0426) (0112330138-0112410436)
BSCSE,CSE 1110,Introduction to Computer Systems,N,AAJr,"May 13, 2024",09:00 AM - 11:00 AM,Computer Lab 10 (0530) (0112310360-0112410510)
BSCSE,CSE 1110,Introduction to Computer Systems,O,MoI,"May 13, 2024",09:00 AM - 11:00 AM,Computer Lab 21 (0422) (0112320095-0112410534)
BSCSE,CSE 1110,Introduction to Computer Systems,U,AsTn,"May 13, 2024",09:00 AM - 11:00 AM,Computer Lab 11 (0531) (0112230265-0112410526)
BSCSE,CSE 1110,Introduction to Computer Systems,X,AsTn,"May 13, 2024",09:00 AM - 11:00 AM,Computer Lab 12 (0532) (0112310608-0112410545)
BSCSE,CSE 4521/CSE 4621/CSI 421,Computer Graphics,A,MHAK,"May 13, 2024",09:00 AM - 11:00 AM,803 (011151218-011202313)
BSCSE,CSE 4611/CSI 411,Compiler/Compiler Design,A,NSS,"May 13, 2024",09:00 AM - 11:00 AM,804 (011181116-011201073)                                                                                                                                                                                                                       805 (011201085-011222212)
BSCSE,CSE 4611/CSI 411,Compiler/Compiler Design,B,KAN,"May 13, 2024",09:00 AM - 11:00 AM,806 (011182013-011201170)                                                                                                                                                                                                                       903 (011201171-011221549)
BSEEE,MAT 1103,Calculus II,A,TN,"May 13, 2024",09:00 AM - 11:00 AM,903 (021221080-0212330058)                                                                                                                                                                                                                       322 (0212330059-0212330159)
BSEEE,MAT 1103,Calculus II,B,NPn,"May 13, 2024",09:00 AM - 11:00 AM,330 (021213014-0212330164)
BSEEE,MAT 1103,Calculus II,E,TN,"May 13, 2024",09:00 AM - 11:00 AM,805 (021211027-0212330085)                                                                                                                                                                                                                       806 (0212330088-0212330165)
BSEEE,SOC 3101,"Society, Environment and Engineering Ethics",I,JJM,"May 13, 2024",09:00 AM - 11:00 AM,803 (021192032-021212013)                                                                                                                                                                                                                       804 (021212021-0212230104)
BSCSE,CSE 1110,Introduction to Computer Systems,A,SiMa,"May 13, 2024",11:30 AM - 01:30 PM,Computer Lab 20 (0424) (0112231048-0112410478)
BSCSE,CSE 1110,Introduction to Computer Systems,B,SAhSh,"May 13, 2024",11:30 AM - 01:30 PM,Computer Lab 11 (0531) (0112310151-0112410537)
BSCSE,CSE 1110,Introduction to Computer Systems,D,SSSk,"May 13, 2024",11:30 AM - 01:30 PM,Computer Lab 21 (0422) (0112230188-0112410533)
BSCSE,CSE 1110,Introduction to Computer Systems,E,SAhSh,"May 13, 2024",11:30 AM - 01:30 PM,Computer Lab 12 (0532) (011222003-0112410392)
BSCSE,CSE 1110,Introduction to Computer Systems,F,SAhSh,"May 13, 2024",11:30 AM - 01:30 PM,Computer Lab 13 (0326) (0112230006-0112410539)
BSCSE,CSE 1110,Introduction to Computer Systems,J,TSh,"May 13, 2024",11:30 AM - 01:30 PM,Computer Lab 7 (0522) (0112330128-0112410508)
BSCSE,CSE 1110,Introduction to Computer Systems,K,ShKS,"May 13, 2024",11:30 AM - 01:30 PM,Computer Lab 15 (0626) (0112330302-0112410546)
BSCSE,CSE 1110,Introduction to Computer Systems,S,ShAn,"May 13, 2024",11:30 AM - 01:30 PM,Computer Lab 14 (0426) (0112310395-0112410496)
BSCSE,CSE 1110,Introduction to Computer Systems,Y,SYH,"May 13, 2024",11:30 AM - 01:30 PM,Computer Lab 5 (0523) (0112231075-0112410528)
BSCSE,CSE 1110,Introduction to Computer Systems,Z,RRK,"May 13, 2024",11:30 AM - 01:30 PM,Computer Lab 10 (0530) (011201472-0112410549)
BSCSE,CSE 425/CSE 4325,"Microprocessor, Microcontroller and Interfacing/Microprocessors and Microcontrollers",A,SiMa,"May 13, 2024",11:30 AM - 01:30 PM,322 (011163056-011202216)                                                                                                                                                                                                                       323 (011202254-011221113)
BSCSE,CSE 425/CSE 4325,"Microprocessor, Microcontroller and Interfacing/Microprocessors and Microcontrollers",B,SiMa,"May 13, 2024",11:30 AM - 01:30 PM,324 (011172150-011201420)                                                                                                                                                                                                                       325 (011201469-011213146)
